Interval,Trend.Value/Trend.Type/max available seats.avg,Trend.Value/Trend.Type/available seats.avg,Trend.Value/Trend.Type/ultraSound.avg,Trend.Value/Trend.Type/Sound.avg,Trend.Value/Trend.Type/Light.avg,Trend.Value/Trend.Type/Temperature.avg,Trend.Value/Trend.Type/Humidity.avg
10/21 12:40,805,680.7666666666667,300.538,317.38085714285717,478.32142857142856,22.390714285714285,17.85942857142857
10/21 13:00,805,675.3333333333334,296.16661681124737,317.66826204008373,549.1794795094227,22.400388872270415,20.202512713131917
10/21 13:20,805,675,302.2360992301112,318.20672939834617,468.775876817793,22.455802680353578,20.357285429141715
10/21 13:40,805,673.1538461538462,301.1281547952888,315.52131239484015,425.8463264161526,22.46564778463264,19.99326977005048
10/21 14:00,805,675.3333333333334,300.9198452183527,312.0696517412935,292.4154228855721,22.365118850193475,19.79021558872305
10/21 14:20,805,688.9642857142857,301.5690715883669,307.6442953020134,269.58808724832215,22.317813199105146,19.636744966442954
10/21 14:40,805,697.7333333333333,298.9601108033241,303.59473684210525,289.7113573407202,22.279639889196677,20.349584487534624
10/21 15:00,805,703.6666666666666,299.4268698060942,298.6869806094183,249.52243767313018,22.268282548476453,20.460664819944597
10/21 15:20,805,718.4615384615385,298.12496574403946,292.9534118936695,225.78706494930117,22.246094820498765,20.248561249657442
10/21 15:40,805,721.6538461538462,299.6399560922064,287.61964873765095,208.03649835345774,22.30063117453348,20.346597145993414
10/21 16:00,805,726.5909090909091,301.1703620544485,283.2006735896716,201.20516418748247,22.269155206286836,20.283188324445693
10/21 16:20,805,734.7647058823529,303.68395827459824,278.8942768536792,198.12235692134198,22.266563292923596,20.53707358330984
10/21 16:40,805,745.1,300.9743010449026,275.82886190341713,202.95453261790453,22.20050833097995,20.470206156452978
10/21 17:00,805,752.1111111111111,301.7160883280757,272.1370805850301,195.4533983366791,22.168339546888443,20.667622598221968
10/21 17:20,805,766.7222222222222,301.7877923559612,268.49144324015975,195.98003422703937,22.112664004563605,21.040216771249288
10/21 17:40,805,779.8421052631579,302.2127955493741,266.9115438108484,194.1134909596662,21.9221140472879,21.089568845618913
10/21 18:00,805,788.2941176470588,299.3157599551318,264.72265844083006,177.51514301738644,21.982893998878296,21.04991587212563
10/21 18:20,805,794,301.2590759075908,262.40071507150714,173.46369636963698,21.950907590759076,21.375687568756877
10/21 18:40,805,798.1428571428571,301.10463169642856,261.34849330357144,165.65150669642858,21.906947544642858,21.160435267857142
10/21 19:00,805,799.8,298.2706113292204,258.9147504206394,164.54486819966348,21.725182277061133,21.308188446438585
10/21 19:20,805,800.2727272727273,299.62920403587447,256.88004484304935,156.90723094170403,21.657511210762333,21.419843049327355
10/21 19:40,805,800.3636363636364,301.2341072415699,254.80403537866223,169.69016030956328,21.651879491431732,23.444997236042013
10/21 20:00,805,801.6363636363636,298.34725703146756,254.00250626566415,162.67641325536061,21.700779727095515,23.37593984962406
10/21 20:20,805,803.8333333333334,306.2963671128107,252.75471182736956,170.4274788309205,21.52212510243103,24.03332422835291
10/21 20:40,805,805,305.3212620027435,252.87736625514404,151.90672153635117,21.61371742112483,23.29766803840878
10/21 21:00,805,805,314.08591264101824,250.8533410471507,150.77118889210297,21.6465143187735,22.934046861440557
10/21 21:20,805,805,312.4948544545722,249.7092031755366,146.56806821523082,21.564245810055866,22.41428991473096
10/21 21:40,805,805,309.3366619115549,249.99372325249644,155.28701854493582,21.569757489300997,22.928958630527816
10/21 22:00,805,803.6666666666666,309.2355478861087,247.56514236410698,165.04515386827725,21.626258268622376,6.371872303710095
10/21 22:20,805,805,304.6232876712329,247.49971461187215,140.59503424657535,21.46917808219178,6.591609589041096
10/21 22:40,805,805,300.09446537235584,246.46595189800058,131.58446827006665,21.396696609678354,6.627933932193567
10/21 23:00,805,805,304.0300327088909,245.92179601546238,126.68123699078204,21.283526613143028,6.858459708593518
10/21 23:20,805,805,309.9742746036494,243.8525276697577,125.51390966198026,21.386479210290158,6.525276697577026
10/21 23:40,805,805,303.8696562032885,240.69925261584456,125.0185351270553,21.384005979073244,6.33662182361734
10/22 0:00,805,805,303.4378109452736,240.56467661691542,114.60167910447761,21.207555970149254,8.08115671641791
